train_loss,val_loss,val_precision,val_recall,val_f1,val_exact_match,val_hamming_acc,learning_rate
0.12589675470672804,0.08921444822441447,0.30883362896256883,0.07441459952602092,0.11562087609659519,0.0,0.9731073290295854,0.001
0.08334356764781065,0.08039021729068323,0.3560353845454132,0.15829803244818272,0.20955083928578103,0.0028653295128939827,0.9732108951565575,0.0009938503261272714
0.07461480432371984,0.07495846802538092,0.4003574187671609,0.21098523847856515,0.25831192861401675,0.025787965616045846,0.9742580637737195,0.0009755527298894295
0.06754304644191401,0.06817305223508315,0.5605672933542477,0.3129481575971272,0.3764592881138561,0.08882521489971347,0.9761452687540995,0.0009455577588320899
0.06144492679286277,0.06843111833388155,0.5695579333115149,0.3011484899130966,0.3636479558343215,0.10888252148997135,0.9760762246694514,0.0009046039886902865
0.05541787857468101,0.06336404992775484,0.6021964168011699,0.40102351105670664,0.4539989842736453,0.1489971346704871,0.9778598635228594,0.0008536998372026806
0.05024234381044048,0.05647227201949467,0.6818478163034037,0.5168727695472723,0.5604370306839198,0.18624641833810887,0.979701039113474,0.0007940987335200905
0.04511872713250675,0.05128148028796369,0.7026918339691243,0.5639087909879392,0.6018852910788881,0.22063037249283668,0.9819219571696528,0.0007272682546199038
0.04013474279179655,0.04842161251740022,0.7073530035436899,0.5765846023932255,0.6145079747296073,0.2177650429799427,0.9830266625240216,0.0006548539886902865
0.03455767459396658,0.04844898781315847,0.7117700546437672,0.6318581591547956,0.6491143643248939,0.2349570200573066,0.9838666988872395,0.0005786390152875956
0.03087841871397934,0.04005555554547093,0.7587236035870789,0.6719585323853391,0.6921631509349725,0.2521489971346705,0.9865939402308374,0.0005005000000000002
0.025884141931417345,0.03929716517979449,0.760759166954954,0.6705166414198669,0.6937540751945505,0.2693409742120344,0.9868010724847815,0.000422360984712405
0.02262152301083351,0.03702461482449011,0.7860054504500842,0.6807332541175636,0.7113054559179329,0.28939828080229224,0.9884466231688933,0.00034614601130971394
0.01950417716998136,0.03518065429207953,0.8062406138516564,0.7387378976245784,0.7548971477699541,0.31805157593123207,0.9893902256590833,0.0002737317453800965
0.017224505383135944,0.03377760015428066,0.8227001407467267,0.7301070785569379,0.7562505926346901,0.34097421203438394,0.9894477623962901,0.00020690126647990978
0.015857337267491323,0.03365306293761188,0.8187235543481163,0.739977310093166,0.7587873368671071,0.335243553008596,0.989885041599061,0.00014730016279731957
0.014532345480917171,0.03294847101311792,0.8122857061447446,0.7430584498103767,0.7594543267507725,0.335243553008596,0.989850519556737,9.639601130971382e-05
0.013782052687187305,0.03238549997860735,0.8326427679797122,0.7564676154232376,0.7769919731063125,0.36962750716332377,0.9904143795813627,5.54422411679103e-05
0.01333394974213222,0.031715758398852566,0.8275880360593874,0.7614183679077442,0.7765631391345217,0.35816618911174786,0.9902993061069493,2.5447270110570818e-05
0.013032185936068323,0.03186630144376646,0.8253905606354676,0.7562049196365537,0.7736455664478288,0.3638968481375358,0.990356842844156,7.149673872728741e-06
